               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1265,            0.026192,            0.079684,           0.0011989,            0.040659,          0.00080367,          0.00017294,             0.12909,            0.013413,            0.078401,              0.0937,              0.0007,              0.0007
                   1,             0.12199,            0.023179,            0.076152,           0.0019358,            0.069556,           0.0015642,          0.00036559,             0.12145,            0.015598,            0.074759,            0.086497,            0.001497,            0.001497
                   2,             0.11477,            0.024811,            0.074018,            0.002954,             0.13967,           0.0020899,          0.00041708,             0.11214,            0.018605,            0.070193,            0.079291,           0.0022909,           0.0022909
                   3,             0.10434,            0.025554,            0.065142,           0.0042617,             0.24696,           0.0046209,            0.001175,             0.10391,            0.020187,            0.065072,            0.072082,           0.0030816,           0.0030816
                   4,              0.1072,             0.02887,            0.062466,           0.0053105,             0.35751,           0.0093891,            0.002364,            0.099148,            0.020226,            0.059197,            0.064869,           0.0038691,           0.0038691
                   5,            0.098068,            0.036498,             0.05234,            0.019939,            0.051187,            0.012263,           0.0029293,            0.094822,            0.020712,            0.053914,            0.057653,           0.0046535,           0.0046535
                   6,            0.091484,            0.026901,            0.049128,           0.0099125,            0.025202,           0.0073945,            0.001682,            0.097267,            0.020298,            0.051881,            0.050435,           0.0054347,           0.0054347
                   7,            0.094863,            0.035026,            0.045633,             0.32691,            0.078853,            0.034299,            0.010676,             0.09465,            0.021024,            0.048858,            0.043213,           0.0062127,           0.0062127
                   8,            0.088091,            0.031495,            0.039621,             0.65642,            0.070228,            0.064338,            0.017169,            0.086498,            0.025757,            0.042207,            0.035988,           0.0069875,           0.0069875
                   9,            0.086729,            0.032661,            0.038449,             0.62252,             0.15367,            0.061176,            0.015256,            0.088045,            0.031468,            0.038602,            0.028759,           0.0077592,           0.0077592
                  10,            0.088904,            0.033232,            0.035446,             0.58697,             0.18963,            0.073955,            0.019187,            0.086554,            0.027005,            0.033443,            0.021528,           0.0085277,           0.0085277
                  11,            0.085139,            0.031899,            0.034521,             0.34078,             0.10316,            0.069877,            0.018509,            0.089529,             0.02106,            0.031586,            0.014293,           0.0092931,           0.0092931
                  12,            0.088864,            0.033022,            0.030712,            0.076512,             0.21919,            0.081287,            0.020269,            0.086132,            0.019968,             0.02858,           0.0097624,           0.0097624,           0.0097624
                  13,            0.084947,            0.029715,            0.032187,            0.097339,              0.1264,            0.076546,            0.017881,            0.085313,            0.019376,            0.026395,           0.0097624,           0.0097624,           0.0097624
                  14,            0.084114,            0.032607,            0.027148,             0.37065,             0.15367,            0.092399,            0.023619,            0.083652,            0.019008,             0.02419,           0.0097426,           0.0097426,           0.0097426
                  15,            0.077894,            0.032207,            0.025634,              0.6284,             0.10797,            0.096288,            0.025733,            0.079761,            0.020615,            0.022235,           0.0097228,           0.0097228,           0.0097228
                  16,            0.084316,            0.032579,            0.027478,             0.63067,             0.15789,             0.10669,            0.031961,            0.080073,             0.02216,            0.019309,            0.009703,            0.009703,            0.009703
                  17,            0.081256,             0.03514,            0.023011,              0.4278,             0.19713,             0.12006,            0.038508,            0.076835,            0.021181,            0.019529,           0.0096832,           0.0096832,           0.0096832
                  18,            0.075039,            0.028278,            0.020239,             0.13129,             0.22614,             0.14583,            0.043789,            0.079194,            0.020568,            0.018007,           0.0096634,           0.0096634,           0.0096634
                  19,            0.075721,            0.024935,            0.019973,             0.11717,             0.35079,             0.14215,            0.044216,             0.07762,            0.020726,            0.018034,           0.0096436,           0.0096436,           0.0096436
                  20,            0.076098,            0.032271,            0.017414,              0.4444,             0.25144,             0.20573,             0.07005,            0.075752,            0.019988,            0.013334,           0.0096238,           0.0096238,           0.0096238
                  21,             0.07251,            0.029304,            0.024122,             0.33611,             0.29516,             0.21847,              0.0748,             0.07222,            0.020309,            0.014613,            0.009604,            0.009604,            0.009604
                  22,            0.073688,            0.030965,            0.016134,             0.17761,             0.42237,             0.17252,            0.049931,            0.073912,            0.020358,            0.011112,           0.0095842,           0.0095842,           0.0095842
                  23,            0.073128,            0.028111,            0.019776,             0.29886,             0.47791,             0.22048,            0.066438,            0.069873,            0.020579,           0.0099571,           0.0095644,           0.0095644,           0.0095644
                  24,            0.064958,            0.027281,            0.011423,              0.1914,             0.40927,             0.19151,            0.062689,            0.071204,            0.019526,           0.0095263,           0.0095446,           0.0095446,           0.0095446
                  25,            0.072213,             0.02878,             0.01487,             0.18229,             0.33092,             0.21861,            0.070122,            0.068578,            0.020129,             0.01102,           0.0095248,           0.0095248,           0.0095248
